Modelo,Exactitud,Precisión,Recall,F1,Especificidad,AUC,TN,FP,FN,TP
Regla ingenua: siempre No,0.8871536523929471,0.0,0.0,0.0,1.0,0.5,1761,0,224,0
Regresión logística,0.8947103274559194,0.6119402985074627,0.18303571428571427,0.281786941580756,0.9852356615559341,0.7739020544333577,1735,26,183,41
Árbol,0.8962216624685139,0.7045454545454546,0.13839285714285715,0.23134328358208955,0.9926178307779671,0.7532157560639248,1748,13,193,31
k vecinos,0.8967254408060453,0.6144578313253012,0.22767857142857142,0.3322475570032573,0.9818285065303805,0.7317663969335604,1729,32,173,51
Random forest,0.8982367758186398,0.7037037037037037,0.16964285714285715,0.2733812949640288,0.9909142532651902,0.7469997262107569,1745,16,186,38
